,Issue_id,Duplicated_issue,Title,Description
0,116.0,,"['version', 'stream', 'refresh', 'genedo']","['select', 'version', 'stream', 'action', 'repository', 'recommend', 'refresh', 'action', 'complete', 'careful', 'performance', 'refresh', 'especially', 'connection', 'versioning', 'selectively', 'refresh', 'preferable', 'behaviour']"
1,157.0,,"['progress', 'progress', 'doesnt', 'refresh']","['suspect', 'progress', 'change', 'refresh', 'introduce', 'multiple', 'begintasks']"
2,169.0,,"['property', 'silently', 'disconnect']","['vcmpropertypage', 'contact', 'server', 'control', 'create', 'initialize', 'setcontrol', 'errors', 'initialize', 'dialog', 'parent', 'control', 'recommend', 'behaviour']"
3,818.0,,"['click', 'dialog']","['resource', 'navigator', 'choose', 'topics', 'choose', 'driver', 'resource', 'navigator', 'choose', 'change', 'problem', 'scenarios', 'comment', 'uncover', 'workbench']"
4,821.0,,['button'],"['perspective', 'resource', 'history', 'bother']"
5,825.0,,"['perspective', 'open', 'current', 'window']","['create', 'second', 'workbench', 'window', 'perspective', 'window', 'request', 'observe', 'perspective', 'current', 'workbench', 'window', 'window', 'furthermore', 'doesnt', 'perspective', 'preferences', 'create', 'perspective', 'current', 'active', 'workbench', 'window', 'comment']"
6,826.0,,"['print', 'section', 'preserve', 'ggylzk']","['select', 'section', 'topics', 'choose', 'section', 'different', 'suspect', 'iterate', 'hashtable', 'doesnt', 'preserve', 'iterate', 'correctly', 'command', 'remeber', 'answer', 'similar']"
7,834.0,,"['accessiblity', 'feature']","['keyboard', 'navigation', 'clumsy', 'highlight', 'larger', 'screen', 'scroll', 'answer', 'higlight', 'window', 'finish', 'answer', 'higlight', 'topics', 'document']"
8,844.0,,"['switch', 'remote', 'refresh']","['remote', 'switch', 'remote', 'refresh', 'current']"
9,1817.0,,"['accessibility', 'requirements']","['accessibility', 'purpose', 'device', 'accelerators', 'mnemonics', 'keyboard', 'sequence', 'navigate', 'different', 'viewers', 'viewer', 'similar', 'forward', 'microsoft', 'explorer', 'ability', 'switch', 'viewers', 'select', 'ability', 'navigate', 'window', 'control', 'navigation', 'control', 'wizard', 'mneumonics', 'project', 'rebuild', 'release', 'catchup', 'version', 'compare', 'replace', 'select', 'filter', 'window', 'perspective', 'helphelp', 'content']"
10,1824.0,,"['reconcile', 'thread', 'editors', 'open']","['selfhosting', 'workspace', 'editors', 'reveal', 'reconciler', 'thread', 'reconcilers', 'jrebinjava', 'verify', 'verify', 'startupjar', 'application', 'ceclipseplugins', 'properties', 'djavaclasspath', 'xverifyall', 'xverifyall', 'current', 'thread', 'signal', 'dispatcher', 'native', 'address', 'operate', 'environment', 'windowsnt', 'processors', 'architecture', 'family', 'genuineintel', 'memory', 'pagefaultcount', 'nonpaged', 'nonpaged', 'pagefile', 'pagefile', 'application', 'environment', 'environment', 'variables', 'settingsall', 'userswinnt', 'filescommon', 'homedrivec', 'homepath', 'jdkdir', 'oswindowsnt', 'cwinntdll', 'family', 'genuineintel', 'processorlevel', 'promptpg', 'systemdrivec', 'windircwinnt', 'windowslogin', 'verify', 'verify', 'startupjar', 'application', 'ceclipseplugins', 'modules', 'cwinntntdlldll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntmsvcrtdll', 'cwinntwinmmdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdll', 'cwinntdnsapidll', 'cwinntwinrnrdll', 'cwinntdll', 'cwinntmsafddll', 'cwinntcscuidll', 'cwinntcscdlldll', 'cwinntmsidll', 'cwinntpsapidll', 'thread', 'modalcontext', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address', 'native', 'address']"
11,1852.0,,"['icellmodifier', 'outdated']","['interface', 'elements', 'properties', 'shortcomings', 'interface', 'modification', 'immutable', 'object', 'markers', 'marker', 'modify', 'editor', 'icellmodifier', 'change', 'marker', 'update', 'control', 'modify', 'method', 'tasklist', 'compute', 'marker', 'control', 'revisit', 'change', 'tableviewer', 'icellmodifier', 'element', 'update', 'widget', 'editor', 'widget', 'modify', 'update', 'response', 'change', 'marker', 'notification']"
12,1854.0,,"['difficulty', 'give', 'desktop', 'drag']","['desktop', 'desktop', 'desktop', 'window']"
